replicate,network_seed,opinion_seed,producer_assignment_seed,simulation_seed
236,1943991817,519529328,977714179,660024677
237,495108812,715166655,1781250535,1884305784
238,1805574359,1582842353,1029146020,2075088656
239,1852842572,2128129292,1392112796,254222746
240,597020798,1119231789,487283722,1727283055
241,1984060605,1680315225,25650532,2025876116
242,1467074890,2139163984,1041950161,1288187367
243,611969671,1845068071,1955526425,485999734
244,615734543,2076612350,1245620529,199137562
245,693881904,1897724224,129781853,1800015116
246,279065141,694154404,2053931552,2042764637
247,421013957,60272857,917192050,2079650897
248,1832838571,1477028189,558005505,780267257
249,1317210212,740231635,1375027782,1017997525
250,793112790,754376078,866027465,279202721
251,544722925,280585387,685879210,1834322542
252,1042253555,2087571404,808680045,2124370476
253,132288806,1589411262,54645971,2028206836
254,145337243,770226285,1449408419,311010833
255,7006643,2804154,322839573,1382228023
256,304016990,1393018000,2007946536,645639455
257,1953002553,756119616,1341627464,1825260877
258,1297553976,539932730,1355593850,1157157352
259,1418605991,1864959474,1830932881,39455921
260,1066057322,371028727,1475488662,311909467
261,338598284,705595884,801997318,738580849
262,615932317,379680382,1102045327,637782731
263,379440119,1712580432,143633266,1209403114
264,1937687453,1425079932,1394772987,1318444353
265,588277413,1575935202,1926636088,834172440
266,1877486589,71232731,524639033,179788023
267,1253390180,704675681,1583047690,1802174308
268,118018314,1597030360,1495506254,401764899
269,386722356,614442855,173044416,872637105
270,1464853584,2143173407,1320858307,2042943231
271,415537889,746167627,2106643741,229533473
272,1445427651,324244910,1165434137,1324482796
273,1981814403,999833989,184866527,413709924
274,302366400,1155054921,819368656,1592759469
275,1224067994,1629417669,1072249331,1345679228
276,170532850,449304065,418211606,446026004
277,562933603,1221050785,1473209235,1748982601
278,228450984,78940277,368176277,1357529780
279,2092381736,1146036533,2116269175,1245762215
280,468889315,933130136,662430767,1015811011
281,1421884528,1008234633,1722169450,1379414299
282,1311056690,2097075782,652140174,255435801
283,1616550995,413148226,1301601761,1923787917
284,2112119577,740769251,1039489063,476503865
285,151691526,1232623232,1023020781,1204330795
286,1183847227,265305347,1006316258,2120242139
287,1536885671,715129105,193018099,462405387
288,530231255,939215782,1134667458,1869928247
289,37372224,151669200,1254277317,1471507320
290,7884127,1174722307,932116850,649274159
291,1723914061,731002070,638932132,1050351338
292,736064729,342313369,1348005756,854142591
293,613919051,1514302664,401144765,1203796822
294,1509199912,1780770715,182148029,1970707092
295,2109354996,48337509,693483638,961208251
296,1371861168,649779405,290628493,1105372306
297,179634921,11247543,448848877,1446979093
298,1372342204,1551523376,396771625,522435214
299,542614077,646558008,1628410721,1033758887
300,2020236408,944144768,1466417643,1423613681
301,1197209679,1775456948,597485290,1792825466
302,1661714973,711518816,213081552,1839332026
303,732679041,495121178,1225421640,101455997
304,1014069026,1766962243,791887325,2077665583
305,1109743164,1669100288,1871646339,187184784
306,223911999,1524101477,1433835658,849327641
307,1587335041,1621033839,238466363,1946952826
308,1655533978,1414127961,57693054,1738751927
309,1223307001,607169818,146396012,1441994923
310,261030802,1647880639,1170402428,541102980
311,521596019,452853957,1657842758,909515620
312,1893813402,129750789,91635896,810380990
313,1702380960,505458625,1703856066,1878302536
314,486943270,1981075245,421572169,510290909
315,1730678300,851423717,1850095822,434006546
316,1625507530,1886351841,1365049678,1190835093
317,541753874,1949195434,272919411,794559366
318,962661258,1992520391,116934392,2093362224
319,1385023707,99041926,121766540,437490643
320,574985668,1970071879,1014016955,1605697684
321,934145968,137241237,768500247,2087117507
322,235051717,736939303,2131006071,941325772
323,1535992052,526963056,1942901180,104631389
324,1845059815,91336756,1046023536,2117524927
325,1163634243,1475157130,96212780,1463350648
326,522185731,703180114,251866904,151079706
327,323370171,1309847822,715108975,1476639895
328,1183126517,1809718442,1448225434,1640362823
329,1028919348,557268369,1451353742,282895480
330,84426581,1281610337,1346488512,798194651
331,1658424134,174608511,1208697088,354069035
332,752562834,795879159,223580820,1167169002
333,830311081,1109151252,860755636,1200565039
334,605791814,237895840,1509724905,733937948
335,236203695,281065459,2040982992,1010664973
336,560294111,117719517,2146981963,1525748513
337,1056797953,1083652964,1515296253,734015866
338,2057831607,639281431,913911691,1532076392
339,365842194,1421952197,1757133646,698530768
340,1057524121,201069569,115326274,2074543139
341,142584782,1792693534,1076072988,740421212
342,607799039,501708243,1882026660,1669590301
343,1555157073,1668861625,833457735,1241116258
344,971967441,1211991603,1656929720,656375409
345,1196077238,1045181410,621534059,541969005
346,921942961,912959397,2029514446,1322671294
347,688024643,713391976,1053297627,433971774
348,2062789658,1706837164,1020494542,1558014085
349,793291700,1779762021,1215985070,2103616594
350,1861194560,670991191,1207000055,471194124
351,285350172,186589218,1015563569,410971462
352,1037039336,1258507885,753598333,1763480610
353,1506646861,792107778,2077691603,1365571858
354,1247225285,1953897648,1424158129,1273356519
355,1452943814,751711200,1153396021,1539623615
356,2039685465,1483395094,2015045753,1136379368
357,1007458197,282585219,1661017235,2060468167
358,723420173,941954798,1147769933,437844120
359,559683720,1955164399,1092702917,1161411186
360,1277439029,870337242,961151014,811069091
361,88775792,2126927815,2025175997,272584755
362,510253326,991475224,1757539657,907397642
363,2007568032,316967322,1299603180,548108990
364,1492750233,551975009,461567483,427548455
365,199049677,132764610,786312365,498215591
366,1682018054,406151824,1184313757,1874548796
367,758441549,1324142927,1842705591,2105444011
368,777275099,1604699231,1004655934,1741264258
369,694609353,2022454322,1759999288,1876456358
370,762618228,898474259,968108079,398021233
371,884610932,429539813,1310361524,2135360684
372,362660898,1354740770,1362264156,1605192203
373,2074592494,538069608,1762671627,1025279665
374,558984605,1331973482,266074534,549804394
375,717533875,1877591670,656440543,1216932773
376,1902327474,58843652,1243643990,1592783293
377,1451325851,211351085,727333378,1077369566
378,1373526086,1541721100,1142800804,547869736
379,190070057,1673247405,1327355885,709915479
380,848638033,1195723268,599694348,28317351
381,372087057,1787593210,1315507121,1833711213
382,1882085924,307288034,666049034,761678812
383,1641786020,1022895210,1997032355,1052981090
384,875033083,1176562901,1635389493,1478994951
385,1602160597,881385757,470650949,88689468
386,2058417379,491584484,1441729949,1879612191
387,786409705,388157916,434203922,218644132
388,1501151161,916849002,927799731,469604223
389,905083849,1661823034,188091431,1071538313
390,1352210386,789936200,2024011312,1170446372
391,635972303,2021555625,2036290923,135844524
392,2143500325,1104952021,511087489,717501487
393,109725277,1175720217,1151816737,737087063
394,2113267244,1562264854,1055166090,1599412122
395,93843744,821581630,1585669569,651994891
396,497287819,1092403246,1818157208,543585214
397,961201772,224955204,1374033487,1914605646
398,1792928155,2003123794,1891383306,599289596
399,1622249705,839700921,1662161347,833219578
400,2126942863,207525242,247779251,1794437943
401,116185575,1214204593,1032919115,1359862471
402,30024340,581744154,1799327772,2056397634
403,358982893,298400348,692418284,766834378
404,1222068410,503128089,215550213,1467713691
405,2105331490,1341255681,1497425478,1151654434
406,1507027388,67534179,1011229416,947433721
407,1811217955,1614198160,536431512,1747843080
408,1693013530,1274128557,2015146996,985883873
409,1437447528,1676500955,958803607,1935735268
410,1106317645,1140685183,58912405,949104939
411,1094090365,27425040,1671473720,640451224
412,471495402,331340988,753247216,219297407
413,523421246,1000473441,1662989165,1173607293
414,314944526,1123558719,445611881,2077604003
415,1280084278,643805086,307310460,1656764550
416,1335339601,1743492111,104865374,805514846
417,1126746009,774523981,1014652422,666408075
418,802338102,613543680,1225004208,1922479160
419,800938914,270716810,309499172,1515197408
420,183040985,1065589994,1289580335,1796833730
421,1617655012,791147811,1400062202,1715725911
422,432596624,1689549678,1774284932,419384874
423,1187222195,1615175508,24286520,1394410481
424,479495899,1630415865,835804375,341251781
425,214651272,1951162584,753123756,1983341716
426,1900311373,2008860561,1503555806,806637991
427,385880229,884029211,1447133800,983774281
428,1736733004,624421969,1210793263,964096202
429,1634864354,1648002661,1180690291,1464572567
430,90471042,1779045769,538363333,1200087764
431,165364561,1656326308,1302963862,345537181
432,1362945383,891750537,241329078,1583957550
433,1238363706,1356359004,1567290184,8595699
434,1657392510,752994659,562022408,1161906547
435,1929205134,42678494,327893214,338146612
436,1506647326,715087664,1480148958,715010770
437,1714871495,1697019241,785777789,154902440
438,983847436,1467706511,716292461,1820767011
439,746789181,377785558,275617166,153822777
440,1999864710,298591675,1858006890,888473448
441,380596216,1723047983,1777018847,407815251
442,1159051462,2024172445,1359152434,17762429
443,695373579,1754416924,1689941766,795566388
444,260848071,1745664858,105494435,441478545
445,425807700,2067908714,1562245939,11993696
446,1236550636,430957842,1252824974,2102785599
447,981783001,1017257335,105141464,514056509
448,1850318127,249548779,1606083674,52179405
449,106399245,37159674,1914507616,1445031192
450,328582499,1651949956,354802557,809479900
451,1858150768,295649289,1898576566,1487339657
452,396831091,458630326,2053157906,1629647807
453,48349549,2133505372,1218557707,712838089
454,74773757,1789255618,1131961553,2141507465
455,632834244,124219919,1251192787,602054729
456,1929589725,769969641,2143504664,1351066643
457,313448763,1273316722,1210962829,2090664848
458,710969012,254103277,1792999343,867764157
459,797552362,1464308632,1853990452,1598746131
460,516871802,1590530541,838135501,903433436
461,503640126,1758897206,2007133554,1959079093
462,1062575585,1341472906,1791390635,1486300629
463,1284857720,2086736257,1704922992,1589193844
464,986637628,694654507,3889143,353873842
465,1119790884,1358272537,1447594609,1257007209
466,1176427278,479925395,524386397,1818022304
467,587741184,1650086971,231023485,1993347606
468,1907495605,1034282066,868665185,1703625666
469,768562400,2039949815,1578532976,1871460674
470,1845055079,1748324348,1453737955,1399966560
471,97168140,2008964467,808983797,70866699
472,1095979982,145985920,711302569,4569653
473,2014513590,1318835129,391521963,1553517615
474,837834833,992990586,1066396152,813462941
475,1167113319,2007783876,1977451792,281015482
476,133532443,1132749584,258752619,1145323801
477,1333648156,769469144,664453622,740873177
478,894708651,1337927185,1708201208,1962889963
479,1885529868,409877514,1760741434,3055905
480,657493166,770282290,404457413,903604567
481,919605125,1521465646,1238832709,695934072
482,713203925,269078483,584019606,772588693
483,1096307225,2013416956,1612214385,107482865
484,217760758,758993211,893099363,77300412
485,979868296,1598947881,348925884,1354455093
486,1237824292,1029211711,1011540720,1211388898
487,1093247851,1785364703,1099334446,1849762966
488,1619254856,1679216441,1068355962,1792225915
489,1960044954,1162987496,755304963,340650576
490,1536888811,577135865,682953516,875682743
491,1413976852,332329103,1412355010,1838738339
492,1472935948,1990499585,369105941,1860556984
493,2144634582,1084771851,1997172597,1724588795
494,51453741,440230969,1858421362,1488378887
495,479304757,550598735,1141543730,809286288
496,1723860464,1298470412,1832557113,1657413662
497,1335846978,435393744,970413595,1677157815
498,872013216,606648063,2118788121,1347383914
499,2098859783,163271170,1827644952,105029822
500,1269844762,1177468108,841265575,1150771276
501,368935554,1477798270,449402701,131522502
502,1915278604,281059179,1248427174,1862919977
503,617016970,2085742892,1618976413,1768517989
504,888014219,1225288067,2126506338,2001879880
505,874833596,360218651,1480527532,597719200
506,264658232,1886965759,509144249,287801296
507,890231768,979918267,951410593,410439969
508,802995658,655113053,991187196,2112471087
509,2005907053,265629913,2030558874,1996574325
510,772402611,1406408111,1885282963,209161003
511,1437882873,1472382030,1910297964,341169826
512,1820217449,476163300,1571111765,1693370637
513,2051257249,439906421,1716671665,2145432311
514,636199454,1238594960,1257850141,470484053
515,833289912,378557185,679499965,1227626388
516,1510471819,1191136490,2062731023,782985734
517,848505335,1757457884,1549165526,559800603
518,836705833,587051582,1243025498,1388139397
519,1327535401,1671020695,1074997539,712551318
520,644085674,994639680,982237433,470853024
521,121531608,1339485202,1262627696,1985888140
522,1321963781,296459446,444297315,440213818
523,365217370,2034636586,988837501,1933816359
524,1899433307,2116100646,1451271394,1681658042
525,1086389168,949659743,1246728404,741494114
526,1255948412,346688764,1676635642,1824104438
527,2087391841,1040589358,1383069846,499324758
528,1054021168,258873254,962550249,987509190
529,1495337096,2061478812,359141010,400970584
530,270156747,1732531815,934880483,1711755247
531,1953195443,1792854534,1670099019,348187818
532,115654898,142608779,145723186,399385549
533,4735145,817794729,1193452888,1993701517
534,2061038895,970058529,1032917991,209790226
535,717361853,1839510642,1465972799,211310302
536,1080044709,1683278853,1313170575,528395748
537,1119455041,209647067,576491603,277910088
538,1278312973,1681098185,822075208,492828628
539,1874903517,513204471,42238652,564284076
540,1787922576,686557514,1283572451,439955864
541,1579241951,841749291,413410228,1827107754
542,101233359,1691392026,1714126917,980078603
543,1615708617,603755473,452504557,1151563907
544,168698807,1643160654,489797569,1515051383
545,1925646691,1829782692,1007871834,1425119298
546,1928030045,169299281,1742148407,1725032841
547,1613872778,1661448326,32635581,1259988412
548,1394115907,1154656275,1662546496,1356006080
549,647791078,1816246975,574293121,521817243
550,135369451,1661589555,1597805959,428282773
551,2089550664,1300943375,217768187,1325493841
552,502426778,227537650,1815622865,1566828368
553,1736737079,1104440163,1741647242,223351320
554,1764107902,1361713633,2055531216,270262973
555,906318907,1540035490,1616751949,618279654
556,1062535164,2089465093,302745800,242558132
557,1035421003,2034213405,1348334957,141319753
558,11488676,361159267,402114329,1807596668
559,1582969928,1113033992,1338288835,767232316
560,2027925922,253804810,2000491012,2074376468
561,130105365,2129093676,529494105,878061789
562,842692311,968424684,1502596830,448178288
563,133472367,1274609054,281129872,18587346
564,1541379375,1081269393,93579827,1088248687
565,1984258474,1667698959,2032973155,871419473
566,2050653152,1654470661,526258492,1329633970
567,227668452,704736058,1281581901,17432440
568,1240242288,501260019,1616423180,1699706047
569,977673746,2042762792,1031263646,2119850729
570,1689319122,476510074,1928711238,1285401126
571,1167441938,1701876128,909809015,1259978343
572,642080089,194410227,1915735375,1240083771
573,1423489705,38724087,2005329964,897189206
574,327531739,1490067633,1093302435,1125299356
575,101796662,1001964205,1749909224,1341480741
576,1232902113,984196572,1699773773,1084343716
577,1257620132,1125546164,1312581878,967503572
578,587660900,729165580,332608459,1047373261
579,1998089017,315171866,3953921,1878586783
580,1137705027,1179950348,446337804,274956047
581,565214828,26315020,348233356,117336143
582,939521978,431023636,2129574418,192582281
583,454631629,1025032506,2145879654,683563804
584,1409168484,1836033799,1197644189,1583661927
585,1624198244,7877070,709195939,44358298
586,1345465860,534394779,1095308921,715123263
587,1992447755,1203742784,907215264,973372594
588,1927390931,1923074861,1456140748,140597936
589,1663359661,1609360558,1384427839,1443141004
590,1861278525,887889317,1487089834,1319537421
591,1461224093,367325689,1674409099,258473398
592,2025158078,1353257616,1286963144,632384995
593,741519112,708963910,394852649,1349796982
594,684843701,1924599160,1053818760,206776154
595,1986854234,1804976927,1707681085,1045744658
596,786946253,1608130887,291676663,331898863
597,1990985511,775103852,683420773,54766274
598,650399242,211400795,1362149486,402208057
599,1907343239,356144586,636920366,1790612458
600,1360920829,1687441984,1706690574,903603078
601,256909,2068256617,661429121,952985074
602,1433850378,169411341,2038486183,1314647973
603,213033668,177360207,206152128,1243190351
604,384317527,1541913290,877159307,720443744
605,1720964240,1477209061,689642007,662654034
606,916333869,209149124,1528380016,1615234532
607,1480925957,2018001711,118570637,205346314
608,1812594918,1705478293,100930971,1855761535
609,1528722615,2052999829,1866879406,805052486
610,451247718,1574134491,926813928,127317196
611,1030022790,155410479,1456509985,1265738802
612,1567338138,9631942,248145779,655868665
613,2138610121,989237620,1108500309,599946213
614,39007689,1937907193,2021817181,1428802271
615,1006174105,2084809472,336216401,526905977
616,1434953476,394995389,927268004,1230922312
617,1563906443,290034124,612231028,1420191505
618,1486270061,25894341,1421518570,125934015
619,299080047,862435757,94662456,1946070514
620,1570575356,1615684352,525170858,562231060
621,2116181983,944342827,2042497951,576313251
622,1033026849,2084389057,1222763120,360934010
623,505964558,901536279,379980428,2098464116
624,42535125,461240197,1293019143,244254091
625,2129626892,947044129,123250889,1215357797
626,1095438796,203629411,1124325918,829438056
627,1671026343,528175491,337206645,935453036
628,1174468237,510113219,1320499238,2140747471
629,1093246330,255988541,232966726,1814478223
630,331033669,409168516,788588631,352610279
631,1674888140,1557215208,484638941,393708369
632,643883798,1505683477,415290651,758594242
633,1293737662,1956562769,2008754971,77399934
634,814220390,898136610,1312310226,497125486
635,886370595,1661984459,2088137302,2094464339
636,661483415,913810123,2003286547,199858695
637,121257833,1357175308,489147014,1451544440
638,548516947,1383987648,1922370050,2098175052
639,1657052338,227100127,1429921358,1283973204
640,969085329,1793978253,959975346,1575416811
641,1676034593,776044123,36378876,192402371
642,1480499418,2028240093,687177903,141248626
643,1497990356,502073293,2021308256,1296524737
644,805044240,1362043640,1976142678,1387902951
645,701700666,107423203,820910598,422059879
646,920733117,689152512,1073526907,1452825076
647,1490151734,1165204226,1593240970,615874181
648,50788204,1272804216,1003021642,194620595
649,2057858370,683792358,1297209434,807308370
650,1005074716,1654269587,1328740992,1418129394
651,1438874728,4830459,747159766,315100342
652,1205100741,381979234,1065421080,330506920
653,141103699,773373842,1662094095,1159804879
654,1837391904,90631200,1646619981,49208172
655,163894088,1275804003,884556116,2134991021
656,876354653,258625075,1272860889,543690419
657,422716067,1839897355,1098950753,870788944
658,1245133411,1052568332,722083401,1281677019
659,838794771,787134196,291712482,1134814029
660,58339706,1710652964,601342526,1039683704
661,690245835,903175516,2120769584,1698686106
662,981978807,65971747,880433013,1169683978
663,36085181,1692021533,790841599,2083538073
664,1351890212,515006945,694866681,1710625826
665,322968136,1731468844,662665786,1309857737
666,1903470903,2146767012,1777768996,2075887930
667,805154914,662983152,2046921807,833711825
668,1907930869,1170066802,1708537784,1466806512
669,858281502,72147960,1669556993,1209734419
670,117918621,1649490136,1363889458,1977238193
671,1568849041,193458000,412513332,308490336
672,1614297200,1134465853,413636202,1255054936
673,663343658,1424545664,972488167,1760440004
674,190381211,1625051654,1823376039,1880511167
675,1581127801,1158370599,718080725,2027336637
676,1100663865,1805534104,665986710,671380815
677,289903102,531180729,1420760167,1675864089
678,510353625,1860235909,616096911,1437910827
679,107645644,581453706,2012884090,1735354627
680,1100447469,1259821969,1794127009,1824833553
681,678632380,1006273694,144567906,1554636682
682,1594849306,365309337,1518959827,489455266
683,1068583630,645779490,1627134626,1185054851
684,854437920,1659263843,1596181438,615957279
685,96296956,358670731,930746881,183041892
686,1195616809,1853687929,835543909,1209284634
687,1599261939,1171082938,833037735,101993953
688,1660471800,2129935391,2079974354,2144662203
689,1070622632,1881400926,1172454704,458932785
690,419618444,1237861919,2111217295,3108378
